year,team_full_name,week,weekly_attendance,Stadium,Capacity,weekly_attendance_percent
2000,Cincinnati Bengals,17,64902.0,Paycor Stadium,65515,0.9906433641150881
2000,Cleveland Browns,1,72418.0,Huntington Bank Field,67895,1.066617571249724
2000,Cleveland Browns,2,64006.0,Huntington Bank Field,67895,0.9427203770528021
2000,Cleveland Browns,3,73018.0,Huntington Bank Field,67895,1.075454746299433
2000,Cleveland Browns,4,45702.0,Huntington Bank Field,67895,0.6731276235363429
2000,Cleveland Browns,5,73018.0,Huntington Bank Field,67895,1.075454746299433
2000,Cleveland Browns,6,44296.0,Huntington Bank Field,67895,0.6524191766698578
2000,Cleveland Browns,7,75811.0,Huntington Bank Field,67895,1.116591796155829
2000,Cleveland Browns,8,57659.0,Huntington Bank Field,67895,0.8492377936519626
2000,Cleveland Browns,9,73118.0,Huntington Bank Field,67895,1.0769276088077178
2000,Cleveland Browns,10,72718.0,Huntington Bank Field,67895,1.0710361587745785
2000,Cleveland Browns,11,72618.0,Huntington Bank Field,67895,1.0695632962662935
2000,Cleveland Browns,12,68498.0,Huntington Bank Field,67895,1.0088813609249576
2000,Cleveland Browns,13,68361.0,Huntington Bank Field,67895,1.0068635392886074
2000,Cleveland Browns,14,51262.0,Huntington Bank Field,67895,0.7550187789969807
2000,Cleveland Browns,15,72318.0,Huntington Bank Field,67895,1.065144708741439
2000,Cleveland Browns,16,72318.0,Huntington Bank Field,67895,1.065144708741439
2000,Cleveland Browns,17,,Huntington Bank Field,67895,
2000,Dallas Cowboys,1,62872.0,AT&T Stadium,80000,0.7859
2000,Dallas Cowboys,2,66009.0,AT&T Stadium,80000,0.8251125
2000,Dallas Cowboys,3,84431.0,AT&T Stadium,80000,1.0553875
2000,Dallas Cowboys,4,64127.0,AT&T Stadium,80000,0.8015875
2000,Dallas Cowboys,5,73310.0,AT&T Stadium,80000,0.916375
2000,Dallas Cowboys,6,,AT&T Stadium,80000,
2000,Dallas Cowboys,7,78189.0,AT&T Stadium,80000,0.9773625
2000,Dallas Cowboys,8,62981.0,AT&T Stadium,80000,0.7872625
2000,Dallas Cowboys,9,63554.0,AT&T Stadium,80000,0.794425
2000,Dallas Cowboys,10,65636.0,AT&T Stadium,80000,0.82045
2000,Dallas Cowboys,11,62170.0,AT&T Stadium,80000,0.777125
2000,Dallas Cowboys,12,69416.0,AT&T Stadium,80000,0.8677
2000,Dallas Cowboys,13,63878.0,AT&T Stadium,80000,0.798475
2000,Dallas Cowboys,14,65621.0,AT&T Stadium,80000,0.8202625
2000,Dallas Cowboys,15,63467.0,AT&T Stadium,80000,0.7933375
2000,Dallas Cowboys,16,61311.0,AT&T Stadium,80000,0.7663875
2000,Dallas Cowboys,17,68498.0,AT&T Stadium,80000,0.856225
2000,Denver Broncos,1,65956.0,Empower Field at Mile High,76125,0.8664170771756978
2000,Denver Broncos,2,75466.0,Empower Field at Mile High,76125,0.991343185550082
2000,Denver Broncos,3,62078.0,Empower Field at Mile High,76125,0.8154745484400657
2000,Denver Broncos,4,74596.0,Empower Field at Mile High,76125,0.9799146141215107
2000,Denver Broncos,5,75684.0,Empower Field at Mile High,76125,0.9942068965517241
2000,Denver Broncos,6,56079.0,Empower Field at Mile High,76125,0.7366699507389163
2000,Denver Broncos,7,75811.0,Empower Field at Mile High,76125,0.9958752052545156
2000,Denver Broncos,8,61603.0,Empower Field at Mile High,76125,0.8092348111658456
2000,Denver Broncos,9,,Empower Field at Mile High,76125,
2000,Denver Broncos,10,78305.0,Empower Field at Mile High,76125,1.0286371100164204
2000,Denver Broncos,11,75951.0,Empower Field at Mile High,76125,0.9977142857142857
2000,Denver Broncos,12,75218.0,Empower Field at Mile High,76125,0.9880853858784894
2000,Denver Broncos,13,68661.0,Empower Field at Mile High,76125,0.9019507389162562
2000,Denver Broncos,14,64900.0,Empower Field at Mile High,76125,0.8525451559934318
2000,Denver Broncos,15,75218.0,Empower Field at Mile High,76125,0.9880853858784894
2000,Denver Broncos,16,78406.0,Empower Field at Mile High,76125,1.0299638752052545
2000,Denver Broncos,17,76098.0,Empower Field at Mile High,76125,0.9996453201970443
2000,Detroit Lions,1,64900.0,Ford Field,65000,0.9984615384615385
2000,Detroit Lions,2,74159.0,Ford Field,65000,1.1409076923076924
2000,Detroit Lions,3,76928.0,Ford Field,65000,1.1835076923076924
2000,Detroit Lions,4,66944.0,Ford Field,65000,1.0299076923076924
2000,Detroit Lions,5,76438.0,Ford Field,65000,1.1759692307692309
2000,Detroit Lions,6,77549.0,Ford Field,65000,1.1930615384615384
2000,Detroit Lions,7,,Ford Field,65000,
2000,Detroit Lions,8,65557.0,Ford Field,65000,1.0085692307692307
2000,Detroit Lions,9,56971.0,Ford Field,65000,0.876476923076923
2000,Detroit Lions,10,77813.0,Ford Field,65000,1.197123076923077
2000,Detroit Lions,11,74309.0,Ford Field,65000,1.1432153846153845
2000,Detroit Lions,12,77897.0,Ford Field,65000,1.1984153846153847
2000,Detroit Lions,13,77923.0,Ford Field,65000,1.1988153846153846
