year,team_full_name,week,weekly_attendance,home,Sb_winners,Sb_winners_prev_years,Playoff_prev_years,Bad_streak,Medium_streak,Good_streak
2000,Kansas City Chiefs,10,62428.0,False,,,,False,False,True
2000,Kansas City Chiefs,11,68002.0,False,,,,False,False,True
2000,Kansas City Chiefs,12,78457.0,True,,,,False,True,False
2000,Kansas City Chiefs,13,47228.0,False,,,,False,True,False
2000,Kansas City Chiefs,14,60292.0,False,,,,False,True,False
2000,Kansas City Chiefs,15,77481.0,True,,,,True,False,False
2000,Kansas City Chiefs,16,78406.0,True,,,,True,False,False
2000,Kansas City Chiefs,17,41017.0,False,,,,True,False,False
2000,Miami Dolphins,1,72949.0,True,,,,True,False,False
2000,Miami Dolphins,2,64112.0,False,,,,True,False,False
2000,Miami Dolphins,3,73464.0,True,,,,True,False,False
2000,Miami Dolphins,4,73344.0,True,,,,True,False,False
2000,Miami Dolphins,5,61535.0,False,,,,False,True,False
2000,Miami Dolphins,6,73901.0,True,,,,False,True,False
2000,Miami Dolphins,7,,,,,,False,False,True
2000,Miami Dolphins,8,78389.0,False,,,,False,False,True
2000,Miami Dolphins,9,73740.0,True,,,,False,False,True
2000,Miami Dolphins,10,77813.0,False,,,,False,False,True
2000,Miami Dolphins,11,56896.0,False,,,,False,False,True
2000,Miami Dolphins,12,74320.0,True,,,,False,False,True
2000,Miami Dolphins,13,56935.0,False,,,,False,False,True
2000,Miami Dolphins,14,73002.0,False,,,,False,True,False
2000,Miami Dolphins,15,74307.0,True,,,,False,False,True
2000,Miami Dolphins,16,73884.0,True,,,,False,False,True
2000,Miami Dolphins,17,60292.0,False,,,,False,True,False
2000,Minnesota Vikings,1,64104.0,True,,,,True,False,False
2000,Minnesota Vikings,2,64112.0,True,,,,True,False,False
2000,Minnesota Vikings,3,60292.0,False,,,,True,False,False
2000,Minnesota Vikings,4,,,,,,False,True,False
2000,Minnesota Vikings,5,76438.0,False,,,,False,True,False
2000,Minnesota Vikings,6,64162.0,True,,,,False,True,False
2000,Minnesota Vikings,7,66944.0,False,,,,False,False,True
2000,Minnesota Vikings,8,64116.0,True,,,,False,False,True
2000,Minnesota Vikings,9,65589.0,False,,,,False,False,True
2000,Minnesota Vikings,10,59854.0,False,,,,False,False,True
2000,Minnesota Vikings,11,64223.0,True,,,,False,False,True
2000,Minnesota Vikings,12,64208.0,True,,,,False,True,False
