year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_city,away_team_city,weekly_attendance,Stadium,Capacity,weekly_attendance_percent
2000,9,New York Giants,Philadelphia Eagles,New York Giants,,Sun,October 29,4:07PM,24,7,384,0,192,1,New York,Philadelphia,78087.0,MetLife Stadium,82500,0.9465090909090909
2000,9,Dallas Cowboys,Jacksonville Jaguars,Jacksonville Jaguars,,Sun,October 29,4:15PM,23,17,392,0,325,3,Dallas,Jacksonville,63554.0,AT&T Stadium,80000,0.794425
2000,9,Seattle Seahawks,Kansas City Chiefs,Kansas City Chiefs,,Sun,October 29,4:16PM,24,19,410,3,351,4,Seattle,Kansas City,62141.0,Lumen Field,69000,0.9005942028985507
2000,9,San Diego Chargers,Oakland Raiders,Oakland Raiders,,Sun,October 29,8:35PM,15,13,228,1,224,2,San Diego,Oakland,66659.0,San Diego Stadium,71500,0.9322937062937063
2000,9,Washington Redskins,Tennessee Titans,Tennessee Titans,,Mon,October 30,9:01PM,27,21,189,0,266,3,Washington,Tennessee,83472.0,Commanders Field,62000,1.3463225806451613
2000,10,Detroit Lions,Miami Dolphins,Miami Dolphins,,Sun,November 5,1:01PM,23,8,293,0,253,3,Detroit,Miami,77813.0,Ford Field,65000,1.197123076923077
2000,10,New Orleans Saints,San Francisco 49ers,New Orleans Saints,,Sun,November 5,1:02PM,31,15,360,0,346,2,New Orleans,San Francisco,64900.0,Caesars Superdome,73208,0.8865151349579281
2000,10,Chicago Bears,Indianapolis Colts,Chicago Bears,,Sun,November 5,1:02PM,27,24,370,0,371,2,Chicago,Indianapolis,66944.0,Soldier Field,61500,1.088520325203252
2000,10,New England Patriots,Buffalo Bills,Buffalo Bills,,Sun,November 5,1:02PM,16,13,315,1,189,2,New England,Buffalo,60292.0,Gillette Stadium,66829,0.9021831839470889
2000,10,Atlanta Falcons,Tampa Bay Buccaneers,Tampa Bay Buccaneers,,Sun,November 5,1:02PM,27,14,267,2,283,4,Atlanta,Tampa Bay,70097.0,Mercedes Benz Stadium,71000,0.9872816901408451
2000,10,Philadelphia Eagles,Dallas Cowboys,Philadelphia Eagles,,Sun,November 5,1:03PM,16,13,357,2,295,2,Philadelphia,Dallas,65636.0,Lincoln Financial Field,69596,0.9431001781711592
2000,10,Tennessee Titans,Pittsburgh Steelers,Tennessee Titans,,Sun,November 5,1:03PM,9,7,364,1,167,3,Tennessee,Pittsburgh,68498.0,Nissan Stadium,69143,0.9906715068770519
2000,10,Cincinnati Bengals,Baltimore Ravens,Baltimore Ravens,,Sun,November 5,1:03PM,27,7,378,0,174,1,Cincinnati,Baltimore,54759.0,Paycor Stadium,65515,0.8358238571319545
2000,10,Cleveland Browns,New York Giants,New York Giants,,Sun,November 5,1:03PM,24,3,370,1,193,1,Cleveland,New York,72718.0,Huntington Bank Field,67895,1.0710361587745785
2000,10,Oakland Raiders,Kansas City Chiefs,Oakland Raiders,,Sun,November 5,1:15PM,49,31,473,0,513,3,Oakland,Kansas City,62428.0,Allegiant Stadium,65000,0.9604307692307692
2000,10,Arizona Cardinals,Washington Redskins,Arizona Cardinals,,Sun,November 5,4:05PM,16,15,178,2,422,3,Arizona,Washington,52244.0,State Farm Stadium,63400,0.8240378548895899
