year,week,home_team_name,away_team_name,day,date,time,weekly_attendance,weekly_attendance_ratio,prev_game_attendance,avg_season_attendance_prev,home_team_superbowl_winner_last_season,away_team_superbowl_winner_last_season,home_team_playoffs_last_season,away_team_playoffs_last_season,home_team_wins_last_3,away_team_wins_last_3,pts_home,pts_away,yds_home,yds_away,turnovers_home,turnovers_away,zscore_pts_home,zscore_yds_home,zscore_turnovers_home,zscore_pts_away,zscore_yds_away,zscore_turnovers_away,full_date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014,12,Giants,Cowboys,Sun,November 23,8:30PM,80520.0,0.7659744484926894,80352.0,75595.75,False,False,False,False,0.0,1.0,28,31,417,385,1,1,1.0673600762072775,1.3794535522895914,-1.14564392373896,0.4241998364805909,0.5256753365749841,-0.29193710406057116,2014-11-23,8.4,5.0,13.9,0.0,,,6.8,,1020.8,
2014,15,Giants,Redskins,Sun,December 14,1:02PM,77628.0,0.7384632946794646,80520.0,75595.75,False,False,False,False,1.0,0.0,24,13,287,372,1,1,0.6237818627185387,-0.2582538613875491,-1.14564392373896,-0.8134711326509451,0.023940459559823376,-0.6177341478232643,2014-12-14,4.7,2.2,8.3,0.0,,326.0,11.5,,1012.5,
2014,17,Giants,Eagles,Sun,December 28,1:02PM,79150.0,0.7529418479656776,77628.0,75595.75,False,False,False,True,3.0,0.0,26,34,505,426,1,1,0.8455709694629081,2.488055493855656,-1.14564392373896,0.4861127454798497,0.09592706789906903,-0.13162622083885994,2014-12-28,8.1,6.1,12.2,,,263.0,10.3,,1014.1,
2015,2,Giants,Falcons,Sun,September 20,1:02PM,77678.0,0.738938937034465,79150.0,74710.5625,False,False,False,False,1.0,2.0,20,24,388,402,1,0,-0.33541019662496846,0.2377177872870813,-0.5809475019311126,0.014351252710676828,0.26003820921975995,-1.3145361259702362,2015-09-20,22.1,18.3,25.0,0.0,,347.0,14.8,,1014.7,
2015,3,Giants,Redskins,Thu,September 24,8:26PM,76081.0,0.7237469202157514,77678.0,74710.5625,False,False,False,False,0.0,1.0,32,21,363,393,0,3,0.7379024325749306,-0.04782910434905239,-1.355544171172596,0.20753874022744667,0.4287111725771751,0.6594631553699796,2015-09-24,20.4,13.3,27.2,0.0,,,6.0,,1024.9,
2015,5,Giants,49ers,Sun,October 11,8:31PM,78515.0,0.7469011900571723,76081.0,74710.5625,False,False,False,False,2.0,0.0,30,27,525,380,1,0,0.5590169943749475,1.8025147534530939,-0.5809475019311126,0.8940593410189047,0.7078782186924479,-1.049445068336743,2015-10-11,14.2,6.7,21.7,0.0,,,6.3,,1014.1,
2015,7,Giants,Cowboys,Sun,October 25,4:25PM,80319.0,0.7640623662255877,78515.0,74710.5625,False,False,False,True,2.0,0.0,27,20,289,460,0,4,0.2906888370749727,-0.893047903592008,-1.355544171172596,-0.883948247458428,1.3307587007926212,2.2289960396886612,2015-10-25,15.0,10.6,21.7,,,249.0,14.8,,1019.3,
2015,10,Giants,Patriots,Sun,November 15,4:31PM,81061.0,0.771120898773794,80319.0,74710.5625,False,True,False,True,2.0,3.0,26,27,422,406,1,2,0.20124611797498107,0.6260615599122231,-0.5809475019311126,-0.17784107201972837,0.4649299745316946,1.2104120796643607,2015-11-15,8.5,0.0,15.6,0.0,,,10.7,,1023.4,
2015,13,Giants,Jets,Sun,December 6,1:03PM,80898.0,0.7695703046964926,81061.0,74710.5625,False,False,False,False,1.0,1.0,20,23,355,463,1,1,-0.33541019662496846,-0.13920410967261515,-0.5809475019311126,0.6042559022527257,1.5081710512847357,-0.3321055820775357,2015-12-06,5.5,0.0,12.8,0.0,,,4.5,,1030.8,
2015,15,Giants,Panthers,Sun,December 20,1:02PM,79436.0,0.75566252223628,80898.0,74710.5625,False,False,False,True,1.0,3.0,35,38,406,480,2,1,1.0062305898749053,0.4433115492650975,0.19364916731037085,1.7156579905198952,2.063660372577356,-0.3327052315253509,2015-12-20,3.6,0.6,6.7,0.0,,273.0,13.2,,1030.7,
2015,17,Giants,Eagles,Sun,January 3,1:03PM,78023.0,0.742220869283968,79436.0,74710.5625,False,False,False,False,1.0,1.0,30,35,502,435,1,2,0.5590169943749475,1.5398116131478508,-0.5809475019311126,0.6306097181737658,0.3655789958637042,-0.20189321327181206,2015-01-03,0.7,-2.8,3.9,14.0,,,6.0,,1031.1,
2016,2,Giants,Saints,Sun,September 18,1:03PM,77727.0,0.7394050665423655,78023.0,74885.1875,False,False,False,False,1.0,2.0,16,13,417,288,3,0,-1.0605970804332596,0.5856886207878713,1.6634161960542366,-1.1507182723729041,-1.4387779260301556,-1.0564428184106458,2016-09-18,24.3,20.0,28.9,0.0,,193.0,11.9,,1017.0,
2016,3,Giants,Redskins,Sun,September 25,1:02PM,78368.0,0.7455028015334709,77727.0,74885.1875,False,False,False,True,2.0,1.0,27,29,457,403,3,1,0.07760466442194583,1.1084790214911315,1.6634161960542366,0.46267209219449973,0.5480716859050425,-0.2862122913645662,2016-09-25,15.9,10.6,21.1,0.0,,,6.5,,1021.2,
2016,6,Giants,Ravens,Sun,October 16,1:02PM,78487.0,0.746634830338372,78368.0,74885.1875,False,False,False,False,0.0,1.0,27,23,435,391,3,0,0.07760466442194583,0.8209443011043385,1.6634161960542366,0.3216781329093617,0.45587961024407836,-1.6438387640985177,2016-10-16,14.8,7.2,22.2,0.0,,,7.6,,1021.0,
2016,9,Giants,Eagles,Sun,November 6,1:00PM,80309.0,0.7639672377545875,78487.0,74885.1875,False,False,False,False,2.0,1.0,28,23,302,443,2,2,0.18107755031787362,-0.917333781234002,0.6776880798739482,-0.06710590344503886,0.8609984498390174,0.05054202125762819,2016-11-06,11.6,5.6,15.0,0.0,,334.0,14.7,,1023.0,
2016,10,Giants,Bengals,Mon,November 14,8:30PM,76218.0,0.7250501802684526,80309.0,74885.1875,False,False,False,True,3.0,1.0,21,20,351,264,2,1,-0.5432326509536208,-0.2769155403725082,0.6776880798739482,-0.7422254273784112,-1.464418447780989,-0.06263061665239625,2016-11-14,9.5,0.0,16.7,0.0,,,6.2,,1016.6,
2016,11,Giants,Bears,Sun,November 20,1:00PM,78898.0,0.7505446104964755,76218.0,74885.1875,False,False,False,False,3.0,1.0,22,16,329,315,0,1,-0.43975976505769304,-0.5644502607593014,-1.2937681524866285,-0.6105652309478766,-0.419762716578768,-0.3080400363063401,2016-11-20,4.0,1.7,5.0,,,280.0,25.0,,1001.0,
2016,14,Giants,Cowboys,Sun,December 11,8:30PM,80874.0,0.7693419963660925,78898.0,74885.1875,False,False,False,False,2.0,3.0,10,7,260,260,3,3,-1.6814343958088265,-1.4662637019724254,1.6634161960542366,-1.2907380765627123,-0.8387458335992286,0.6995814127978606,2016-12-11,-1.4,-3.9,1.1,,,,5.9,,1031.4,
